Data,Competição,Estádio,Casa,Placar,Visitante
21/10/1923,Amistoso,Palestra Itália,Botafogo,4-2,Atlético
30/08/1930,Amistoso,Presidente Antônio Carlos,Atlético,3-2,Botafogo
01/10/1930,Amistoso,General Severiano,Botafogo,6-3,Atlético
29/10/1938,Amistoso,Presidente Antônio Carlos,Atlético,0-2,Botafogo
17/09/1940,Amistoso,Presidente Antônio Carlos,Atlético,4-3,Botafogo
03/02/1943,Amistoso,Presidente Antônio Carlos,Atlético,2-3,Botafogo
07/02/1943,Amistoso,Presidente Antônio Carlos,Atlético,3-1,Botafogo
29/01/1947,Amistoso,Presidente Antônio Carlos,Atlético,3-2,Botafogo
20/07/1947,Amistoso,General Severiano,Botafogo,1-2,Atlético
23/07/1947,Amistoso,Laranjeiras,Botafogo,3-2,Atlético
10/09/1947,Amistoso,Juscelino Kubitschek,Atlético,3-3,Botafogo
30/11/1947,Amistoso,Juscelino Kubitschek,Atlético,3-3,Botafogo
13/02/1949,Amistoso,Otacílio Negrão de Lima,Atlético,1-3,Botafogo
16/03/1954,Amistoso,Presidente Antônio Carlos,Atlético,2-2,Botafogo
19/03/1954,Amistoso,General Severiano,Botafogo,3-2,Atlético
27/03/1955,Torneio Quadrangular JK,Independência,Atlético,3-2,Botafogo
20/03/1956,Amistoso,Independência,Atlético,0-2,Botafogo
03/02/1957,Amistoso,Independência,Atlético,1-3,Botafogo
23/03/1958,Amistoso,Independência,Atlético,4-5,Botafogo
27/01/1959,Amistoso,Independência,Atlético,1-3,Botafogo
04/07/1962,Amistoso,Independência,Atlético,0–3,Botafogo
30/01/1964,Governador Magalhães Pinto,Independência,Atlético,2–3,Botafogo
01/11/1966,Amistoso,Mineirão,Atlético,0–0,Botafogo
11/03/1967,Brasileiro,Maracanã,Botafogo,4–4,Atlético
11/10/1967,Brasileiro,Maracanã,Botafogo,3–2,Atlético
01/11/1967,Brasileiro,Mineirão,Atlético,1–0,Botafogo
15/11/1967,Brasileiro,Mineirão,Atlético,1–1,Botafogo
13/03/1968,Amistoso,Mineirão,Atlético,2–3,Botafogo
23/10/1968,Brasileiro,Mineirão,Atlético,1–1,Botafogo
22/10/1969,Brasileiro,Maracanã,Botafogo,2–1,Atlético
19/02/1970,Amistoso,Mineirão,Atlético,0–1,Botafogo
22/11/1970,Brasileiro,Mineirão,Atlético,3–1,Botafogo
21/04/1971,Amistoso,Pelezão,Atlético,2–0,Botafogo
12/09/1971,Brasileiro,Mineirão,Atlético,2–2,Botafogo
19/12/1971,Brasileiro,Maracanã,Botafogo,0–1,Atlético
17/06/1972,Amistoso,Uberabão,Atlético,2–2,Botafogo
05/11/1972,Brasileiro,Mineirão,Atlético,2–0,Botafogo
24/11/1973,Brasileiro,Maracanã,Botafogo,2–1,Atlético
12/02/1978,Brasileiro,Maracanã,Botafogo,0–0,Atlético
01/05/1979,Amistoso,Mineirão,Atlético,3–2,Botafogo
24/04/1984,Heleno Nunes,Mineirão,Atlético,0–3,Botafogo
19/06/1986,Amistoso,Independência,Atlético,2–2,Botafogo
05/10/1986,Brasileiro,Maracanã,Botafogo,2–4,Atlético
28/10/1987,Brasileiro,Maracanã,Botafogo,0–0,Atlético
07/09/1988,Brasileiro,Mineirão,Atlético,1–0,Botafogo
23/09/1989,Brasileiro,Mineirão,Atlético,2–0,Botafogo
11/11/1990,Brasileiro,Caio Martins,Botafogo,1–1,Atlético
12/05/1991,Brasileiro,Mineirão,Atlético,0–3,Botafogo
01/02/1992,Brasileiro,Mineirão,Atlético,0–2,Botafogo
08/09/1993,Copa Conmebol,Mineirão,Atlético,3–1,Botafogo
15/09/1993,Copa Conmebol,Caio Martins,Botafogo,3–0,Atlético
10/06/1994,Copa Dener,Caio Martins,Botafogo,0–3,Atlético
24/08/1994,Brasileiro,Caio Martins,Botafogo,2–1,Atlético
31/08/1994,Brasileiro,Mineirão,Atlético,0–2,Botafogo
01/12/1994,Brasileiro,Mineirão,Atlético,2–0,Botafogo
04/12/1994,Brasileiro,Maracanã,Botafogo,2–1,Atlético
12/11/1995,Brasileiro,Maracanã,Botafogo,5–0,Atlético
26/10/1996,Brasileiro,Mineirão,Atlético,4–3,Botafogo
08/06/1997,Copa Bandeirantes,Mané Garrincha,Atlético,2–1,Botafogo
17/07/1997,Brasileiro,Caio Martins,Botafogo,2–0,Atlético
10/10/1998,Brasileiro,Mineirão,Atlético,5–5,Botafogo
18/08/1999,Brasileiro,Caio Martins,Botafogo,1–5,Atlético
30/07/2000,Brasileiro,Caio Martins,Botafogo,0–0,Atlético
03/10/2001,Brasileiro,Independência,Atlético,4–0,Botafogo
14/08/2002,Brasileiro,Maracanã,Botafogo,1–1,Atlético
28/04/2004,Brasileiro,Caio Martins,Botafogo,2–2,Atlético
22/08/2004,Brasileiro,Independência,Atlético,1–1,Botafogo
14/05/2005,Brasileiro,Luso Brasileiro,Botafogo,2–1,Atlético
11/09/2005,Brasileiro,Independência,Atlético,0–2,Botafogo
02/05/2007,Copa do Brasil,Mineirão,Atlético,0–0,Botafogo
10/05/2007,Copa do Brasil,Maracanã,Botafogo,2–1,Atlético
20/05/2007,Brasileiro,Maracanã,Botafogo,2–1,Atlético
26/08/2007,Brasileiro,Mineirão,Atlético,1–2,Botafogo
08/05/2008,Copa do Brasil,Mineirão,Atlético,0–0,Botafogo
14/05/2008,Copa do Brasil,Engenhão,Botafogo,2–0,Atlético
23/07/2008,Brasileiro,Engenhão,Botafogo,4–0,Atlético
14/08/2008,Sul-Americana,Engenhão,Botafogo,3–1,Atlético
27/08/2008,Sul-Americana,Mineirão,Atlético,2–5,Botafogo
02/11/2008,Brasileiro,Mineirão,Atlético,2–1,Botafogo
05/07/2009,Brasileiro,Mineirão,Atlético,1–1,Botafogo
08/10/2009,Brasileiro,Engenhão,Botafogo,3–1,Atlético
07/08/2010,Brasileiro,Engenhão,Botafogo,3–0,Atlético
30/10/2010,Brasileiro,Arena do Jacaré,Atlético,0–2,Botafogo
10/08/2011,Sul-Americana,Ipatingão,Atlético,1–2,Botafogo
20/08/2011,Brasileiro,Engenhão,Botafogo,3–1,Atlético
23/08/2011,Sul-Americana,Engenhão,Botafogo,1–0,Atlético
27/11/2011,Brasileiro,Arena do Jacaré,Atlético,4–0,Botafogo
19/08/2012,Brasileiro,Independência,Atlético,3–2,Botafogo
25/11/2012,Brasileiro,Engenhão,Botafogo,2–3,Atlético
07/08/2013,Brasileiro,Independência,Atlético,2–2,Botafogo
22/08/2013,Copa do Brasil,Maracanã,Botafogo,4–2,Atlético
28/08/2013,Copa do Brasil,Independência,Atlético,2–2,Botafogo
26/10/2013,Brasileiro,Maracanã,Botafogo,1–0,Atlético
07/09/2014,Brasileiro,Independência,Atlético,1–0,Botafogo
07/12/2014,Brasileiro,Mané,Botafogo,0–0,Atlético
30/06/2016,Brasileiro,Mineirão,Atlético,5–3,Botafogo
16/10/2016,Brasileiro,Luso Brasileiro,Botafogo,3–2,Atlético
29/06/2017,Copa do Brasil,Independência,Atlético,1–0,Botafogo
09/07/2017,Brasileiro,Nilton Santos,Botafogo,1–1,Atlético
26/07/2017,Copa do Brasil,Nilton Santos,Botafogo,3–0,Atlético
29/10/2017,Brasileiro,Independência,Atlético,0–0,Botafogo
19/08/2018,Brasileiro,Nilton Santos,Botafogo,0–3,Atlético
01/12/2018,Brasileiro,Independência,Atlético,1–0,Botafogo
24/07/2019,Sul-Americana,Nilton Santos,Botafogo,0–1,Atlético
31/07/2019,Sul-Americana,Independência,Atlético,2–0,Botafogo
08/09/2019,Brasileiro,Nilton Santos,Botafogo,2–1,Atlético
04/12/2019,Brasileiro,Mineirão,Atlético,2–0,Botafogo
19/08/2020,Brasileiro,Nilton Santos,Botafogo,2–1,Atlético
25/11/2020,Brasileiro,Mineirão,Atlético,2–1,Botafogo
